zpid,address,Latitude,Longitude
46195662," 213 E Concord St, Orlando, FL 32801",28.551344,-81.374658
46195663," 223 E Concord St, Orlando, FL 32801",28.551327,-81.374366
46195667," 309 E Concord St, Orlando, FL 32801",28.551225,-81.373438
46195673," 124 N Shine Ave, Orlando, FL 32801",28.54489,-81.362547
46195690," 306 E Harwood St, Orlando, FL 32801",28.548282,-81.373524
46195711," 32 N Brown Ave, Orlando, FL 32801",28.543322,-81.36349
46195712," 24 N Brown Ave, Orlando, FL 32801",28.543163,-81.363381
46195725," 204 N Brown Ave, Orlando, FL 32801",28.544923,-81.363532
46195727," 1512 E Robinson St, Orlando, FL 32801",28.545567,-81.360699
46195731," 1405 E Jefferson St, Orlando, FL 32801",28.545194,-81.361941
46195738," 1515 E Jefferson St, Orlando, FL 32801",28.545207,-81.360694
46195751," 1406 E Jefferson St, Orlando, FL 32801",28.544657,-81.361933
46195936," 530 E Central Blvd APT 1504, Orlando, FL 32801",28.541761,-81.370313
46195987," 122 N Hyer Ave, Orlando, FL 32801",28.544516,-81.366967
46195994," 907 E Washington St, Orlando, FL 32801",28.543954,-81.366326
46195999," 909 E Central Blvd, Orlando, FL 32801",28.542342,-81.366357
46196097," 17 N Lawsona Blvd, Orlando, FL 32801",28.543512,-81.360982
46196101," 14 N Lawsona Blvd, Orlando, FL 32801",28.543345,-81.361563
46196116," 1305 E Washington St, Orlando, FL 32801",28.544181,-81.362882
46196124," 1205 E Washington St, Orlando, FL 32801",28.544044,-81.36383
46196126," 115 N Mills Ave, Orlando, FL 32801",28.544276,-81.363857
46196133," 1304 E Washington St, Orlando, FL 32801",28.543636,-81.363029
46196138," 20 N Shine Ave, Orlando, FL 32801",28.543431,-81.362542
46196145," 1303 E Central Blvd, Orlando, FL 32801",28.542593,-81.362999
46196146," 15 N Brown Ave, Orlando, FL 32801",28.542867,-81.362906
46196148," 25 N Brown Ave, Orlando, FL 32801",28.543143,-81.362909
46196154," 910 E Central Blvd, Orlando, FL 32801",28.541911,-81.366192
46196156," 918 E Central Blvd, Orlando, FL 32801",28.541914,-81.365881
46196167," 108 S Thornton Ave, Orlando, FL 32801",28.541012,-81.365318
46196173," 900 E Pine St, Orlando, FL 32801",28.541112,-81.366489
46196174," 115 S Hyer Ave, Orlando, FL 32801",28.540853,-81.366328
46196263," 133 Hibiscus Ct, Orlando, FL 32801",28.550344,-81.375383
46196271," 128 Hibiscus Ct, Orlando, FL 32801",28.550187,-81.375563
46196287," 323 E Amelia St, Orlando, FL 32801",28.549688,-81.372867
46196294," 31 N Mills Ave, Orlando, FL 32801",28.543322,-81.363825
46196310," 1408 E Washington St, Orlando, FL 32801",28.543742,-81.361784
46196313," 17 N Shine Ave, Orlando, FL 32801",28.543369,-81.361962
46196320," 133 E Concord St, Orlando, FL 32801",28.551245,-81.375457
46196323," 205 E Concord St, Orlando, FL 32801",28.551278,-81.374997
46196324," 209 E Concord St, Orlando, FL 32801",28.55125,-81.374846
46196339," 1408 E Central Blvd, Orlando, FL 32801",28.542491,-81.361871
46196380," 148 S Thornton Ave, Orlando, FL 32801",28.54055,-81.365205
46196382," 182 S Thornton Ave, Orlando, FL 32801",28.540375,-81.365731
46196391," 1012 E Jackson St, Orlando, FL 32801",28.539012,-81.365306
46196408," 1109 E Jackson St, Orlando, FL 32801",28.539599,-81.364462
46196411," 108 Kennison Dr, Orlando, FL 32801",28.541268,-81.362502
46196416," 121 S Brown Ave, Orlando, FL 32801",28.54077,-81.362862
46196423," 131 Kennison Dr, Orlando, FL 32801",28.54037,-81.362067
46196425," 130 S Lawsona Blvd, Orlando, FL 32801",28.540452,-81.361623
46196432," 115 S Lawsona Blvd, Orlando, FL 32801",28.54097,-81.361083
46196437," 131 S Lawsona Blvd, Orlando, FL 32801",28.540448,-81.361077
46196441," 205 S Lawsona Blvd, Orlando, FL 32801",28.539921,-81.361346
46196454," 224 S Lawsona Blvd, Orlando, FL 32801",28.5395,-81.362485
46196459," 317 S Brown Ave, Orlando, FL",28.53897,-81.362871
46196465," 216 S Lawsona Blvd, Orlando, FL 32801",28.539693,-81.362079
